"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.48384915735618e-39,0.587670817235154,0.456,0.275,6.70380287516322e-35,"0","H3C13"
6.33832475278943e-39,0.715908305225259,0.299,0.153,9.47642933789547e-35,"0","CDH4"
6.83345257395687e-39,0.809863347031022,0.293,0.149,1.02166949433229e-34,"0","RPH3AL"
7.25600112471998e-39,0.641387276354968,0.437,0.265,1.08484472815688e-34,"0","FSD1L"
1.13651974197789e-38,0.564343665611116,0.459,0.274,1.69921066623114e-34,"0","NUDT21"
1.53866039594501e-38,0.634585172870567,0.44,0.264,2.30045115797739e-34,"0","TMEM97"
2.76079160210332e-38,0.571017868634673,0.454,0.277,4.12765952430467e-34,"0","APC"
3.05600072664466e-38,0.557755531242043,0.473,0.292,4.56902668640644e-34,"0","OGG1"
7.28056754793898e-38,0.62327855723123,0.389,0.222,1.08851765409236e-33,"0","ZNF586"
1.06476532260333e-37,0.785684776773975,0.329,0.181,1.59193063382424e-33,"0","LOC107986315"
1.08301955351711e-37,0.764067749715827,0.349,0.197,1.61922253446343e-33,"0","APOOL"
1.8763258178529e-37,0.641622900452107,0.408,0.244,2.80529473027187e-33,"0","INVS"
1.78717663621049e-36,0.627004165112418,0.367,0.207,2.6720077887983e-32,"0","LOC101928401"
3.2276204036565e-36,0.509199397529114,0.493,0.31,4.82561526550683e-32,"0","DSTYK"
5.24785355074164e-36,0.635165095823916,0.334,0.182,7.84606584371382e-32,"0","MOGAT1"
6.66024591814336e-36,0.659566013955955,0.347,0.193,9.95773367221614e-32,"0","PCDHGA6"
1.0041337212188e-35,0.627688778142124,0.357,0.201,1.50128032659423e-31,"0","SLC15A2"
2.81616308901469e-35,0.712132342361326,0.335,0.189,4.21044543438587e-31,"0","RCHY1"
2.99546232487049e-35,0.697481474268114,0.328,0.182,4.47851572191386e-31,"0","LENG9"
3.91575596622855e-35,0.60920125067567,0.391,0.229,5.8544467451083e-31,"0","FAIM"
6.09524762530439e-35,0.542891860490348,0.424,0.254,9.11300472459259e-31,"0","C17orf100"
1.04468763827177e-34,0.712729388674292,0.309,0.167,1.56191248798013e-30,"0","HTRA3"
2.60425179285843e-34,0.555788504382943,0.43,0.263,3.89361685550264e-30,"0","KMT5C"
4.6601473789884e-34,0.564686238130856,0.419,0.252,6.96738634632556e-30,"0","LAMA2"
5.01673204030872e-34,0.58882976308465,0.39,0.231,7.50051607346556e-30,"0","PAICS"
5.85072665270054e-34,0.612495567175853,0.33,0.183,8.74742141845257e-30,"0","DUSP12"
6.97141781551139e-34,0.557190421381863,0.443,0.275,1.04229667759711e-29,"0","KPNA5"
7.82167710137993e-34,0.702717302465171,0.29,0.155,1.16941894342731e-29,"0","ABTB3"
2.68372645008894e-33,0.541933313000273,0.426,0.26,4.01243941552798e-29,"0","ARHGEF1"
2.97299705749489e-33,0.585284413615582,0.365,0.211,4.44492790066061e-29,"0","ATP6V1E1"
7.06445466571829e-33,0.652365575561864,0.311,0.171,1.05620661707154e-28,"0","TMEM31"
1.27727472904199e-32,0.644065347198567,0.373,0.222,1.90965344739068e-28,"0","USP38-DT"
2.03779586624696e-32,0.571406275992127,0.321,0.18,3.04670859962583e-28,"0","RLBP1"
2.35412523005437e-32,0.56012905813855,0.42,0.259,3.51965263145429e-28,"0","MTA1-DT"
3.83280803796898e-32,0.509154976323285,0.488,0.319,5.73043129756743e-28,"0","PLP2"
3.84552421676447e-32,0.676139316959933,0.321,0.183,5.74944325648456e-28,"0","LOC105375148"
4.50543622063528e-32,0.578187715358242,0.348,0.2,6.73607769347181e-28,"0","PLCE1"
5.70865762018436e-32,0.534318119776882,0.37,0.217,8.53501400793764e-28,"0","DENND4C"
1.04711768826427e-31,0.533203624411513,0.424,0.267,1.56554565572391e-27,"0","HSH2D"
1.85321114980441e-31,0.639351786764418,0.356,0.214,2.77073599007257e-27,"0","ISG20"
2.54347655967913e-31,0.787095207531555,0.26,0.138,3.80275180437626e-27,"0","POGLUT3"
7.56066380421641e-31,0.603519371943432,0.321,0.184,1.1303948453684e-26,"0","RFX1"
1.06380715000017e-30,0.525412736330261,0.417,0.26,1.59049806996526e-26,"0","PDE7B-AS1"
5.11341622972078e-30,0.66576121948803,0.303,0.173,7.64506860505554e-26,"0","LOC101927495"
5.33771464243693e-30,0.509053291869748,0.522,0.361,7.98041716190745e-26,"0","NAB1"
5.42651695264091e-30,0.622186359801763,0.301,0.169,8.11318549589342e-26,"0","RSPH14"
6.22223534027457e-30,0.715920456247066,0.281,0.154,9.30286405724451e-26,"0","IL3RA"
8.0443937577498e-30,0.699554224902737,0.288,0.16,1.20271731072117e-25,"0","DCAF8-DT"
4.5074249210939e-29,0.694574782701206,0.268,0.147,6.73905099952749e-25,"0","TERC"
1.45437808064041e-28,0.514451269837464,0.392,0.247,2.17444066836547e-24,"0","MDP1"
1.76675363584391e-28,0.605520241893094,0.32,0.187,2.64147336095023e-24,"0","SPTLC2"
2.75152281867782e-28,0.733599822005281,0.251,0.135,4.11380176620521e-24,"0","PAX2"
3.21433764238876e-28,0.687902819795913,0.299,0.173,4.80575620913543e-24,"0","PCDHB15"
4.46105167298145e-28,0.659734827561979,0.301,0.175,6.66971835627457e-24,"0","USPL1"
5.93416881481987e-28,0.527300172300248,0.305,0.174,8.87217579503719e-24,"0","SUB1"
9.19935755601127e-28,0.73049827717359,0.25,0.136,1.37539594819925e-23,"0","TP53TG5"
1.06481913532432e-27,0.670710923274249,0.293,0.171,1.5920110892234e-23,"0","HMGN3-AS1"
1.66521998388386e-27,0.641319616244481,0.261,0.143,2.48967039790476e-23,"0","LINC02443"
2.91667802510641e-27,0.500061094765895,0.413,0.264,4.3607253153366e-23,"0","MTPAP"
4.40714404389386e-27,0.654212349089222,0.274,0.154,6.58912106002571e-23,"0","LOC124906033"
1.24319472516487e-26,0.524353399910919,0.388,0.244,1.85870043359399e-22,"0","ADISSP"
1.28567493883323e-26,0.595598130510133,0.345,0.213,1.92221260104956e-22,"0","PPHLN1"
1.62382391774177e-26,0.559294871994648,0.349,0.216,2.42777913941572e-22,"0","ILF2"
